"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-01","0.00","65","43","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-02","0.00","65","43","60"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-03","0.04","65","43","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-04","0.02","65","43","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-05","0.31","65","43","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-06","0.00","57","46",
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-07","0.00","53","47","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-08","3.68","52","48","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-09","0.39","53","50","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-10","0.01","50","47","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-11","0.01","56","47","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-12","0.00","62","39","48"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-13","0.00","63","40","47"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-14","0.00","65","40","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-15","0.00","65","39","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-16","0.00","65","39","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-17","0.00","62","52","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-18","0.00","56","51","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-19","0.00","56","46","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-20","0.00","55","41","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-21","0.00","56","42","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-22","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-23","0.00","60","44","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-24","0.00","60","44","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-25","0.00","60","44","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-26","0.00","60","42","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-27","0.00","61","42","54"
